onset	duration	text	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	SS_delay	adaptive_acc	stop_acc	new_trial_type
test	10880.0	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	6	93611	0.0-6.0	beast_fmri_test	358	82735,/,83413,/,84092,/,84771,/,85452,/,86131,/,86810,/,87490,/,88171,/,88849,/,89530,/,90208,/,90889,/,91568,/,92249,/,92928,/,93608,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""block-text"">Your delay is 2 trials.</p><p class = block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11380	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	7	94115	0.0-7.0-0.0	beast_fmri_test	358	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
9628.1636393226072	2750.0	n/a	1605	89	2750	1756.83636068	stim	stop-signal	8	96870	0.0-7.0-1.0	beast_fmri_test	358	94289,/,94968,/,95648,/,96326,/,97006,/,97685,/,98365,/	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	P	71,Index Finger	89,Middle Finger	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	go_stim
12378.163639322607	1756.83636068	n/a	1605	89	2750	1756.83636068	stim	stop-signal	8	96870	0.0-7.0-1.0	beast_fmri_test	358	94289,/,94968,/,95648,/,96326,/,97006,/,97685,/,98365,/	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	P	71,Index Finger	89,Middle Finger	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	ITI
16399	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	9	99134	0.0-7.1-0.1	beast_fmri_test	358	99045,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
15800.856623332176	2750.0	n/a	645	89	2750	602.143376668	stim	stop-signal	10	101888	0.0-7.1-1.1	beast_fmri_test	358	99726,/,100404,/,101085,/,101764,/,102444,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	T	71,Index Finger	89,Middle Finger	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	go_stim
18550.856623332176	602.143376668	n/a	645	89	2750	602.143376668	stim	stop-signal	10	101888	0.0-7.1-1.1	beast_fmri_test	358	99726,/,100404,/,101085,/,101764,/,102444,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	T	71,Index Finger	89,Middle Finger	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	ITI
20260	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	11	102995	0.0-7.2-0.2	beast_fmri_test	358	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
15893.747457070713	2750.0	n/a	595	89	2750	4369.25254293	stim	stop-signal	12	105748	0.0-7.2-1.2	beast_fmri_test	358	103124,/,103804,/,104483,/,105163,/,105842,/,106521,/,107202,/,107880,/,108564,/,109240,/,109920,/	t,t,t,t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	2250.0	2.0	2.0	go	non-target	T	71,Index Finger	89,Middle Finger	500.0	500.0	0.0	2250.0	1.0	500.0	1.0	n/a	go_stim
18643.747457070713	4369.25254293	n/a	595	89	2750	4369.25254293	stim	stop-signal	12	105748	0.0-7.2-1.2	beast_fmri_test	358	103124,/,103804,/,104483,/,105163,/,105842,/,106521,/,107202,/,107880,/,108564,/,109240,/,109920,/	t,t,t,t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	2250.0	2.0	2.0	go	non-target	T	71,Index Finger	89,Middle Finger	500.0	500.0	0.0	2250.0	1.0	500.0	1.0	n/a	ITI
